status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19150.0,1520.0,2006-07-12,250000.0
for_sale,2.0,1.0,0.05,Upper Darby,Pennsylvania,19082.0,1072.0,2005-05-27,115000.0
for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19137.0,1000.0,2017-12-26,224900.0
for_sale,2.0,2.0,0.02,Philadelphia,Pennsylvania,19147.0,1920.0,1981-09-01,575000.0
for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19142.0,960.0,2017-10-06,165000.0
for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19140.0,1006.0,2006-09-01,99900.0
for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19151.0,1220.0,2015-07-30,219900.0
for_sale,4.0,3.0,0.28,Havertown,Pennsylvania,19083.0,2731.0,2006-07-10,650000.0
for_sale,3.0,1.0,0.04,Pennsauken,New Jersey,8110.0,920.0,1995-09-14,175000.0
for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19148.0,1250.0,2019-08-26,379900.0
for_sale,4.0,2.0,0.02,Philadelphia,Pennsylvania,19124.0,1200.0,2000-06-15,179999.0
for_sale,4.0,3.0,0.08,Conshohocken,Pennsylvania,19428.0,2256.0,2021-09-21,600000.0
for_sale,3.0,3.0,0.05,Philadelphia,Pennsylvania,19147.0,1704.0,2005-02-15,599000.0
for_sale,4.0,3.0,0.75,Carneys Point,New Jersey,8069.0,2448.0,1987-02-18,425000.0
for_sale,3.0,3.0,0.04,Philadelphia,Pennsylvania,19144.0,3198.0,2014-01-23,399000.0
for_sale,2.0,3.0,0.08,Wilmington,Delaware,19802.0,1275.0,2000-02-23,180000.0
for_sale,4.0,3.0,0.31,Oreland,Pennsylvania,19075.0,1811.0,2020-09-30,399900.0
for_sale,3.0,4.0,0.06,West Conshohocken,Pennsylvania,19428.0,1513.0,2018-11-27,415000.0
for_sale,6.0,5.0,0.56,Elkins Park,Pennsylvania,19027.0,5622.0,2019-07-25,749000.0
for_sale,4.0,3.0,0.3,Woodbury,New Jersey,8096.0,2476.0,1989-07-13,389900.0
for_sale,4.0,3.0,0.1,Philadelphia,Pennsylvania,19128.0,1878.0,2018-03-27,460000.0
for_sale,3.0,3.0,0.03,Philadelphia,Pennsylvania,19149.0,1100.0,2005-05-25,178000.0
for_sale,3.0,2.0,0.04,Darby,Pennsylvania,19023.0,1124.0,2021-06-24,175000.0
for_sale,3.0,1.0,0.02,Darby,Pennsylvania,19023.0,1138.0,2012-03-02,100000.0
for_sale,3.0,2.0,0.31,Broomall,Pennsylvania,19008.0,1909.0,2013-07-15,517999.0
for_sale,3.0,4.0,0.78,Wilmington,Delaware,19807.0,3325.0,2014-07-03,869900.0
for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19134.0,684.0,2022-02-25,185000.0
for_sale,4.0,2.0,0.05,Chester,Pennsylvania,19013.0,1792.0,2004-02-12,107000.0
for_sale,2.0,1.0,0.03,Philadelphia,Pennsylvania,19124.0,657.0,2013-10-31,140000.0
for_sale,4.0,2.0,0.18,Haddon Township,New Jersey,8108.0,2190.0,2015-09-25,550000.0
for_sale,3.0,2.0,0.03,Philadelphia,Pennsylvania,19138.0,1224.0,1981-03-01,260000.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19134.0,1170.0,2009-02-06,184900.0
for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19121.0,1176.0,2021-01-04,174900.0
for_sale,4.0,2.0,0.03,Philadelphia,Pennsylvania,19139.0,1600.0,2020-04-15,242900.0
for_sale,3.0,1.0,0.03,Philadelphia,Pennsylvania,19142.0,994.0,2001-06-12,115000.0
for_sale,3.0,2.0,0.07,Essington,Pennsylvania,19029.0,1974.0,2014-07-10,290000.0
for_sale,3.0,4.0,0.02,Philadelphia,Pennsylvania,19146.0,2500.0,2017-12-08,675000.0
for_sale,4.0,3.0,1.0,Mullica Hill,New Jersey,8062.0,2458.0,2011-10-25,530000.0
for_sale,3.0,2.0,0.14,Secane,Pennsylvania,19018.0,1773.0,2015-03-13,285000.0
for_sale,2.0,1.0,0.13,Clifton Heights,Pennsylvania,19018.0,1264.0,2017-04-26,199900.0
for_sale,3.0,1.0,0.17,Penns Grove,New Jersey,8069.0,1100.0,2021-12-16,140000.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19120.0,1064.0,2022-01-07,255000.0
for_sale,4.0,2.0,0.05,Philadelphia,Pennsylvania,19139.0,1968.0,2019-12-03,159999.0
for_sale,5.0,3.0,0.02,Philadelphia,Pennsylvania,19104.0,1860.0,2014-04-22,400000.0
for_sale,3.0,3.0,0.03,Philadelphia,Pennsylvania,19130.0,2497.0,2005-05-03,875000.0
for_sale,4.0,4.0,0.03,Philadelphia,Pennsylvania,19150.0,1228.0,2021-11-23,345500.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19145.0,1047.0,2021-02-01,289500.0
for_sale,4.0,3.0,0.31,Glenside,Pennsylvania,19038.0,2321.0,2019-07-19,480000.0
for_sale,4.0,3.0,0.47,Broomall,Pennsylvania,19008.0,2754.0,2014-10-06,635000.0
for_sale,6.0,3.0,0.25,Jenkintown,Pennsylvania,19046.0,3034.0,2008-06-11,669000.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19148.0,1625.0,2016-03-01,455000.0
for_sale,3.0,2.0,0.04,Philadelphia,Pennsylvania,19111.0,1296.0,2005-06-06,238000.0
for_sale,3.0,1.0,0.02,Philadelphia,Pennsylvania,19134.0,1178.0,2013-07-02,135000.0
for_sale,3.0,2.0,0.01,Philadelphia,Pennsylvania,19123.0,1224.0,2020-09-09,469900.0
for_sale,3.0,2.0,0.15,Media,Pennsylvania,19063.0,1574.0,1986-07-23,409000.0
for_sale,4.0,4.0,0.18,Ridley Park,Pennsylvania,19078.0,2288.0,2021-01-27,529900.0
for_sale,2.0,1.0,0.01,Philadelphia,Pennsylvania,19147.0,813.0,2019-06-06,415000.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19146.0,1876.0,2013-10-04,399000.0
for_sale,3.0,1.0,0.05,Philadelphia,Pennsylvania,19128.0,1488.0,1986-11-17,275000.0
for_sale,3.0,3.0,0.02,Philadelphia,Pennsylvania,19145.0,1480.0,2021-09-03,419000.0
for_sale,3.0,2.0,0.02,Philadelphia,Pennsylvania,19147.0,1290.0,2009-06-15,389000.0
for_sale,3.0,2.0,1.22,Franklinville,New Jersey,8322.0,2147.0,2018-03-21,315000.0
for_sale,4.0,3.0,1.92,Mullica Hill,New Jersey,8062.0,2830.0,2021-12-02,589900.0
for_sale,3.0,2.0,0.06,Wilmington,Delaware,19805.0,1250.0,2015-04-20,235000.0
for_sale,5.0,6.0,0.51,Wilmington,Delaware,19807.0,5150.0,1979-01-01,1395000.0
for_sale,4.0,3.0,0.02,Philadelphia,Pennsylvania,19132.0,1909.0,2004-01-28,195000.0
for_sale,3.0,2.0,0.06,Upper Darby,Pennsylvania,19082.0,1519.0,2007-05-30,189900.0
for_sale,3.0,3.0,0.03,Philadelphia,Pennsylvania,19139.0,1735.0,2021-12-16,279900.0
for_sale,5.0,4.0,0.03,Philadelphia,Pennsylvania,19131.0,2500.0,2012-11-20,399950.0
for_sale,4.0,3.0,0.03,Philadelphia,Pennsylvania,19146.0,2592.0,2013-05-06,450000.0
for_sale,3.0,4.0,0.04,Philadelphia,Pennsylvania,19106.0,3508.0,2014-08-20,1875000.0
